sample_number,follow_number,Date_Collected,month,year,Who_Collected,Time_Collected,Orangutan_ID,ID_correction,class,flanged_since,known_birth_yr,known_birth_months,known_age_in_months,next_sib_birth_yr,next_sib_birth_month,last_inf_yr,last_inf_month,next_inf_yr,next_inf_mo,known_offspring,known_num_offspring,estim_birth,estim_age_years,age_class,comment
595,6267,24-May-14,5,2014,Rahmadt,5:45:00 AM,Niko,Niko,flanged,<2003,,,,,,,,,,,,<1978,36,old flanged,
601,6277,26-May-14,5,2014,Wendy,5:00:00 AM,Niko,Niko,flanged,<2003,,,,,,,,,,,,<1978,36,old flanged,
634,6369,6-Jun-14,6,2014,Abuk,5:24:00 AM,Kondor,Kondor,parous female,,,,,,,lost,,,,(F),lost,1998,16,,lost 2 yr old infant < 2 weeks before
621,6310,15-Jun-14,6,2014,Tono,5:35:00 AM,Milo,Milo,local adolescent,,,,,,,,,,,,,2001,13,,
620,6312,15-Jun-14,6,2014,Idun,5:35:00 AM,Jip,Jip,local offspring,,2006,2,100,2013,7,,,,,,,,,,
622,6314,16-Jun-14,6,2014,Suwi,5:15:00 AM,Milo,Milo,local adolescent,,,,,,,,,,,,,2001,13,,
624,6317,16-Jun-14,6,2014,Idun,4:30:00 AM,Otto,Otto,flanged,<2008,,,,,,,,,,,,<1983,31,mid-aged flanged,sired offspring in 2003
623,6315,16-Jun-14,6,2014,Abuk,5:20:00 AM,Juni,Juni,parous female,,,,,,,2013,7,,,MF,2,c.1992,22,,
625,6321,18-Jun-14,6,2014,Idun,,Henk,Henk,flanged,<2004,,,,,,,,,,,,<1979,35,old flanged,
626,6322,18-Jun-14,6,2014,Rahmatd,5:24:00 AM,Milo,Milo,local adolescent,,,,,,,,,,,,,2001,13,,
628,6325,23-Jun-14,6,2014,Rahmatd,5:57:00 AM,Dayak,Dayak,flanged,2010,,,,,,,,,,,,<1985,29,young flanged,
627,6327,25-Jun-14,6,2014,Abuk,5:40:00 AM,Dayak,Dayak,flanged,2010,,,,,,,,,,,,<1985,29,young flanged,
629,6330,26-Jun-14,6,2014,Abuk,5:34:00 AM,Mindy,Mindy,parous female,,,,,,,2008,7,2014,11,FF,2,c.1986,28,,early prgnancy
630,6333,27-Jun-14,6,2014,Abuk,12:03:00 PM,Mindy,Mindy,parous female,,,,,,,2008,7,2014,11,FF,2,c.1986,28,,early prgnancy
631,6334,28-Jun-14,6,2014,Ern,5:35:00 AM,Mindy,Mindy,parous female,,,,,,,2008,7,2014,11,FF,2,c.1986,28,,early prgnancy
632,6338,29-Jun-14,6,2014,Abuk,6:02:00 AM,Mindy,Mindy,parous female,,,,,,,2008,7,2014,11,FF,2,c.1986,28,,early prgnancy
633,6344,30-Jun-14,6,2014,Idun,7:18:00 AM,Kerry,Kerry,parous female,,,,,,,2014,6,,,FMM,3,c.1980,34,,day of giving birth to Ketambe
635,6372,7-Jul-14,7,2014,Abuk,5:18:00 AM,Katmandun,Kay,flanged,<2005,,,,,,,,,,,,<1980,34,mid-aged flanged,
636,6374,8-Jul-14,7,2014,Yann,5:23:00 AM,Katmandun,Kay,flanged,<2005,,,,,,,,,,,,<1980,34,mid-aged flanged,
637,6376,9-Jul-14,7,2014,Yann,6:10:00 AM,Katmandun,Kay,flanged,<2005,,,,,,,,,,,,<1980,34,mid-aged flanged,
638,6378,10-Jul-14,7,2014,Idun,5:19:00 AM,Katmandun,Kay,flanged,<2005,,,,,,,,,,,,<1980,34,mid-aged flanged,note died in 2017
640,6385,11-Jul-14,7,2014,Abuk,6:15:00 AM,Dayak,Dayak,flanged,2010,,,,,,,,,,,,<1985,29,young flanged,
642,6391,13-Jul-14,7,2014,idun,,Dayak,Dayak,flanged,2010,,,,,,,,,,,,<1985,29,young flanged,
643,6397,14-Jul-14,7,2014,2014,5:41:00 AM,Guapo,Guapo,flanged,<2007,,,,,,,,,,,,<1982,32,mid-aged flanged,sired offspring in 2000
646,6400,15-Jul-14,7,2014,Alysse,5:58:00 AM,Sidony,Sidony,parous female,,,,,,,2010,3,,,FFM,3,<1982,32,,after severe attack and wounded died c Jul26
645,6403,15-Jul-14,7,2014,Rahmatol,5:31:00 AM,Jinak,Jinak,parous female,,,,,,,2011,7,,,FFFMM,5,1965,>49,old female,
647,6405,16-Jul-14,7,2014,Alysse,7:17:00 AM,Sidony,Sidony,parous female,,,,,,,2010,3,,,FFM,3,<1982,32,,after severe attack and wounded died c Jul26
648,6405,16-Jul-14,7,2014,Alysse,10:14:00 AM,Sidony,Sidony,parous female,,,,,,,2010,3,,,FFM,3,<1982,32,,after severe attack and wounded died c Jul26
649,6405,16-Jul-14,7,2014,Alysse,2:08:00 PM,Sidony,Sidony,parous female,,,,,,,2010,3,,,FFM,3,<1982,32,,after severe attack and wounded died c Jul26
650,6406,16-Jul-14,7,2014,Julia,5:28:00 AM,Jinak,Jinak,parous female,,,,,,,2011,7,,,FFFMM,5,1965,>49,old female,
651,6409,17-Jul-14,7,2014,Rahmatd,8:38:00 AM,Sidony,Sidony,parous female,,,,,,,2010,3,,,FFM,3,<1982,32,,after severe attack and wounded died c Jul26
652,6411,17-Jul-14,7,2014,Abuk,6:38:00 AM,Jinak,Jinak,parous female,,,,,,,2011,7,,,FFFMM,5,1965,>49,old female,
653,6414,18-Jul-14,7,2014,Tono,8:50:00 AM,Sidony,Sidony,parous female,,,,,,,2010,3,,,FFM,3,<1982,32,,after severe attack and wounded died c Jul26
654,6418,19-Jul-14,7,2014,Wilhelm,7:23:00 AM,Sidony,Sidony,parous female,,,,,,,2010,3,,,FFM,3,<1982,32,,after severe attack and wounded died c Jul26
656,6422,20-Jul-14,7,2014,Suwi,5:52:00 AM,Sidony,Sidony,parous female,,,,,,,2010,3,,,FFM,3,<1982,32,,after severe attack and wounded died c Jul26
657,6428,21-Jul-14,7,2014,Alysse,6:03:00 AM,Sony,Sony,local offspring,,2010,3,52,,,,,,,,,,,,after severe attack on mother who died few days later; Sony on his own
660,6430,21-Jul-14,7,2014,Suwi,5:36:00 AM,Ipsy,Ipsy,local offspring,,2007,6,85,2014,1,,,,,,,,,,
658,6427,21-Jul-14,7,2014,Yann,8:44:00 AM,Sidony,Sidony,parous female,,,,,,,2010,3,,,FFM,3,<1982,32,,after severe attack and wounded died c Jul26
659,6429,21-Jul-14,7,2014,Anna,5:28:00 AM,Inul,Inul,parous female,,,,,,,2014,7,,,FMFM,4,<1978,>36,old female,
662,6432,22-Jul-14,7,2014,Alysse,10:21:00 AM,Sidony,Sidony,parous female,,,,,,,2010,3,,,FFM,3,<1982,32,,after severe attack and wounded died c Jul26
661,6434,22-Jul-14,7,2014,Idun,5:28:00 AM,Inul,Inul,parous female,,,,,,,2014,7,,,FMFM,4,<1978,>36,old female,
664,6437,23-Jul-14,7,2014,Wilhelm,5:26:00 AM,Sidony,Sidony,parous female,,,,,,,2010,3,,,FFM,3,<1982,32,,after severe attack on mother who died few days later; Sony on his own
667,6441,24-Jul-14,7,2014,Anuk,7:38:00 AM,Sony,Sony,local offspring,,2010,3,52,,,,,,,,,,,,after severe attack on mother who died few days later; Sony on his own
668,6461,3-Aug-14,8,2014,Yann,5:00:00 AM,Juni,Juni,parous female,,,,,,,2013,7,,,MF,2,c.1992,22,,
669,6463,4-Aug-14,8,2014,Sonja,5:15:00 AM,Juni,Juni,parous female,,,,,,,2013,7,,,MF,2,c.1992,22,,
671,6469,7-Aug-14,8,2014,Abuk,5:12:00 AM,Juni,Juni,parous female,,,,,,,2013,7,,,MF,2,c.1992,22,,
672,6471,8-Aug-14,8,2014,Abuk,5:32:00 AM,Juni,Juni,parous female,,,,,,,2013,7,,,MF,2,c.1992,22,,
673,6471,8-Aug-14,8,2014,Alysse,1:59:00 PM,Juni,Juni,parous female,,,,,,,2013,7,,,MF,2,c.1992,22,,
675,6480,11-Aug-14,8,2014,Idun,4:52:00 AM,Wodan,Wodan,flanged,2012,,,,,,,,,,,,1987,27,young flanged,
677,6489,20-Aug-14,8,2014,Suwi,5:08:00 AM,Wodan,Wodan,flanged,2012,,,,,,,,,,,,1987,27,young flanged,
681,6517,2-Sep-14,9,2014,Idun,4:42:00 AM,Kerry,Kerry,parous female,,,,,,,2014,6,,,FMM,3,c.1980,34,,
683,6522,7-Sep-14,9,2014,Wendy,4:49:00 AM,Otto,Otto,flanged,<2008,,,,,,,,,,,,<1983,31,mid-aged flanged,
686,6527,9-Sep-14,9,2014,Idun,5:07:00 AM,Otto,Otto,flanged,<2008,,,,,,,,,,,,<1983,31,mid-aged flanged,
687,6530,10-Sep-14,9,2014,Wendy,4:39:00 AM,Otto,Otto,flanged,<2008,,,,,,,,,,,,<1983,31,mid-aged flanged,
688,6531,10-Sep-14,9,2014,"Shauhin, Tim",11:12:00 AM,Desy,Desy,parous female,,,,,,,2010,7,,,MM,2,1990,24,,
692,6535,14-Sep-14,9,2014,Abuk,5:16:00 AM,Sony,Sony,local offspring,,2010,3,54,,,,,,,,,,,,orphan
693,6537,15-Sep-14,9,2014,Idun,5:02:00 AM,Tomi,Tomi,flanged,<2012,,,,,,,,,,,,<1987,27,young flanged,
695,6539,16-Sep-14,9,2014,Wendy,5:16:00 AM,Tomi,Tomi,flanged,<2012,,,,,,,,,,,,<1987,27,young flanged,
694,6540,16-Sep-14,9,2014,Abuk,4:38:00 AM,Sony,Sony,local offspring,,2010,3,54,,,,,,,,,,,,orphan
697,6543,18-Sep-14,9,2014,Idun,5:09:00 AM,Wodan,Wodan,flanged,2012,,,,,,,,,,,,1987,27,young flanged,
698,6545,19-Sep-14,9,2014,Abuk,5:10:00 AM,Wodan,Wodan,flanged,2012,,,,,,,,,,,,1987,27,young flanged,
699,6545,19-Sep-14,9,2014,Abuk,5:17:00 AM,Wodan,Wodan,flanged,2012,,,,,,,,,,,,1987,27,young flanged,
700,6547,19-Sep-14,9,2014,Tono,4:48:00 AM,Streisel,Streisel,local adolescent,,,,,2010,3,,,,,,,2002,12,,"after death mother Sidony in July 2014, Streisel often but not always in association with younger sibling Sony"
702,6548,20-Sep-14,9,2014,Wendy,5:22:00 AM,Wodan,Wodan,flanged,2012,,,,,,,,,,,,1987,27,young flanged,
701,6549,20-Sep-14,9,2014,Suwi,5:06:00 AM,Mindy,Mindy,pregnant,,,,,,,2008,7,2014,11,FF,,c.1986,28,,pregnant
704,6552,21-Sep-14,9,2014,Abuk,5:11:00 AM,Wodan,Wodan,flanged,2012,,,,,,,,,,,,1987,27,young flanged,
703,6553,21-Sep-14,9,2014,Tim,4:58:00 AM,Mindy,Mindy,pregnant,,,,,,,2008,7,2014,11,FF,,c.1986,28,,pregnant
705,6556,22-Sep-14,9,2014,Tim,12:20:00 PM,Mawas,Mawas,local offspring,,2008,7,74,2014,11,,,,,,,,,,2 months before sib
707,6558,23-Sep-14,9,2014,"Suwi, Tim",11:17:00 AM,Mawas,Mawas,local offspring,,2008,7,74,2014,11,,,,,,,,,,2 months before sib
706,6558,23-Sep-14,9,2014,Suwi,4:52:00 AM,Mindy,Mindy,pregnant,,,,,,,2008,7,2014,11,FF,,c.1986,28,,pregnant
708,6560,24-Sep-14,9,2014,Tono,4:52:00 AM,Mindy,Mindy,pregnant,,,,,,,2008,7,2014,11,FF,,c.1986,28,,pregnant
711,6562,25-Sep-14,9,2014,Idun,8:54:00 AM,MindyMawas,Mindy,pregnant,,,,,,,2014,11,,,FFF,,c.1986,28,,"assume sample  from Mindy, not Mawas?"
712,6564,26-Sep-14,9,2014,Tono,4:33:00 AM,Henk,Henk,flanged,<2004,,,,,,,,,,,,<1979,35,old flanged,
713,6565,27-Sep-14,9,2014,"Tono, Wendy",4:38:00 AM,Henk,Henk,flanged,<2004,,,,,,,,,,,,<1979,35,old flanged,
714,6567,28-Sep-14,9,2014,Idun,4:40:00 AM,Henk,Henk,flanged,<2004,,,,,,,,,,,,<1979,35,old flanged,
715,6568,28-Sep-14,9,2014,Suwi,4:40:00 AM,Juni,Juni,parous female,,,,,,,2013,7,,,MF,2,c.1992,22,,
717,6569,29-Sep-14,9,2014,Suwi,4:57:00 AM,Henk,Henk,flanged,<2004,,,,,,,,,,,,<1979,35,old flanged,
716,6570,29-Sep-14,9,2014,Idun,5:52:00 AM,Juni,Juni,parous female,,,,,,,2013,7,,,MF,2,c.1992,22,,
718,6571,30-Sep-14,9,2014,Wendy,7:11:00 AM,Henk,Henk,flanged,<2004,,,,,,,,,,,,<1979,35,old flanged,
719,6573,1-Oct-14,10,2014,Wendy,4:55:00 AM,Henk,Henk,flanged,<2004,,,,,,,,,,,,<1979,35,old flanged,
721,6576,2-Oct-14,10,2014,Abuk,4:55:00 AM,Juni,Juni,parous female,,,,,,,2013,7,,,MF,2,c.1992,22,,
722,6577,3-Oct-14,10,2014,Abuk,6:24:00 AM,Juni,Juni,parous female,,,,,,,2013,7,,,MF,2,c.1992,22,,
723,6579,6-Oct-14,10,2014,Wendy,4:51:00 AM,Dolay,Dolay,flanged,2009,,,,,,,,,,,,<1984,30,mid-aged flanged,
723,6579,6-Oct-14,10,2014,Wendy,4:51:00 AM,Dolay,Dolay,flanged,2009,,,,,,,,,,,,<1984,30,mid-aged flanged,
724,6581,11-Oct-14,10,2014,Abuk,4:58:00 AM,Kerry,Kerry,parous female,,,,,,,2014,6,,,FMM,3,c.1980,34,,
725,6583,13-Oct-14,10,2014,Idun,4:55:00 AM,Kerry,Kerry,parous female,,,,,,,2014,6,,,FMM,3,c.1980,34,,
726,6586,16-Oct-14,10,2014,Idun,4:59:00 AM,Kerry,Kerry,parous female,,,,,,,2014,6,,,FMM,3,c.1980,34,,
727,6587,17-Oct-14,10,2014,Tim,5:14:00 AM,Kerry,Kerry,parous female,,,,,,,2014,6,,,FMM,3,c.1980,34,,
728,6588,18-Oct-14,10,2014,Tim,5:01:00 AM,Kerry,Kerry,parous female,,,,,,,2014,6,,,FMM,3,c.1980,34,,
729,9999,19-Oct-14,10,2014,Abuk,4:42:00 AM,Kino,Kino,local offspring,,2007,1,93,2014,6,,,,,,,,,,4 months after sibling birth
730,6591,20-Oct-14,10,2014,Abuk,5:02:00 AM,Kerry,Kerry,parous female,,,,,,,2014,6,,,FMM,3,c.1980,34,,
733,6598,23-Oct-14,10,2014,Idun,4:58:00 AM,Milo,Milo,local adolescent,,,,,,,,,,,,,2001,13,,
734,6603,1-Nov-14,11,2014,Abuk,4:58:00 AM,Sugus,Sugus,flanged,<2013,,,,,,,,,,,,<1985,29,young flanged,
735,6700,2-Nov-14,11,2014,Idun,4:50:00 AM,Sugus,Sugus,flanged,<2013,,,,,,,,,,,,<1985,29,young flanged,
736,6612,12-Nov-14,11,2014,Idun,5:14:00 AM,Jinak,Jinak,parous female,,,,,,,2011,7,,,FFFMM,5,1965,>49,old female,
738,6626,16-Nov-14,11,2014,Abuk,4:38:00 AM,Inul,Inul,parous female,,,,,,,2014,7,,,FMFM,4,<1978,>36,old female,
737,6624,16-Nov-14,11,2014,Idun,5:15:00 AM,Jinak,Jinak,parous female,,,,,,,2011,7,,,FFFMM,5,1965,>49,old female,
739,6628,17-Nov-14,11,2014,Suwi,5:07:00 AM,Jinak,Jinak,parous female,,,,,,,2011,7,,,FFFMM,5,1965,>49,old female,
740,6640,19-Nov-14,11,2014,Idun,5:12:00 AM,Inul,Inul,parous female,,,,,,,2014,7,,,FMFM,4,<1978,>36,old female,
741,6646,20-Nov-14,11,2014,Abuk,5:34:00 AM,Milo,Milo,local adolescent,,,,,,,,,,,,,2001,13,,
742,6644,20-Nov-14,11,2014,Tono,5:01:00 AM,Inul,Inul,parous female,,,,,,,2014,7,,,FMFM,4,<1978,>36,old female,
744,6652,22-Nov-14,11,2014,Suwi,5:11:00 AM,Milo,Milo,local adolescent,,,,,,,,,,,,,2001,13,,
745,6653,22-Nov-14,11,2014,Abuk,5:00:00 AM,Helium,Helium,flanged,<2012,,,,,,,,,,,,<1987,27,young flanged,
747,6654,23-Nov-14,11,2014,Abuk,4:50:00 AM,Juni,Juni,parous female,,,,,,,2013,7,,,MF,2,c.1992,22,,
746,6657,23-Nov-14,11,2014,Idun,4:35:00 AM,Milo,Milo,local adolescent,,,,,,,,,,,,,2001,13,,
749,6662,25-Nov-14,11,2014,Idun,4:57:00 AM,Juni,Juni,parous female,,,,,,,2013,7,,,MF,2,c.1992,22,,
750,6665,26-Nov-14,11,2014,Tono,5:12:00 AM,Juni,Juni,parous female,,,,,,,2013,7,,,MF,2,c.1992,22,,
751,6668,27-Nov-14,11,2014,Abuk,4:57:00 AM,Juni,Juni,parous female,,,,,,,2013,7,,,MF,2,c.1992,22,,
752,6669,27-Nov-14,11,2014,Caco,4:45:00 AM,Jip,Jip,local offspring,,2006,2,105,2013,7,,,,,,,,,,
753,6673,28-Nov-14,11,2014,Abuk,4:56:00 AM,Kondor,Kondor,pregnant,,,,,,,lost,,2015,4,(F),lost,1998,16,,early pregnancy
754,6674,29-Nov-14,11,2014,Suwi,4:50:00 AM,Juni,Juni,parous female,,,,,,,2013,7,,,MF,2,c.1992,22,,
755,6675,29-Nov-14,11,2014,Caco,4:58:00 AM,Jip,Jip,local offspring,,2006,2,105,2013,7,,,,,,,,,,
756,6677,30-Nov-14,11,2014,Idun,4:52:00 AM,Juni,Juni,parous female,,,,,,,2013,7,,,MF,2,c.1992,22,,
757,6679,1-Dec-14,12,2014,Abuk,5:24:00 AM,Juni,Juni,parous female,,,,,,,2013,7,,,MF,2,c.1992,22,,
758,6692,12-Dec-14,12,2014,Tono,6:26:00 AM,Ekko,Ekko,unflanged,2015,,,,,,,,,,,,1990,24,old unflanged,
759,6699,15-Dec-14,12,2014,Abuk,5:20:00 AM,Mindy,Mindy,parous female,,,,,,,2014,11,,,FFF,3,c.1986,28,,< 1 months after giving birth
760,6706,17-Dec-14,12,2014,Idun,5:09:00 AM,Tomi,Tomi,flanged,<2012,,,,,,,,,,,,<1987,27,young flanged,
761,6714,19-Dec-14,12,2014,Isman,4:53:00 AM,Sugus,Sugus,flanged,<2013,,,,,,,,,,,,<1985,29,young flanged,
762,6716,20-Dec-14,12,2014,Abuk,5:03:00 AM,Tomi,Tomi,flanged,<2012,,,,,,,,,,,,<1987,27,young flanged,
764,6718,21-Dec-14,12,2014,Abuk,5:11:00 AM,Mindy,Mindy,parous female,,,,,,,2014,11,,,FFF,3,c.1986,28,,
766,6740,10-Jan-15,1,2015,Abuk,5:35:00 AM,Inul,Inul,parous female,,,,,,,2014,7,,,FMFM,4,<1978,>36,old female,
767,6743,11-Jan-15,1,2015,Abuk,6:12:00 AM,Fugit,Fugit,flanged,<2004,,,,,,,,,,,,<1980,35,old flanged,
768,6744,11-Jan-15,1,2015,Idun,6:48:00 AM,Inul,Inul,parous female,,,,,,,2014,7,,,FMFM,4,<1978,>37,old female,
769,6747,12-Jan-15,1,2015,Abuk,5:48:00 AM,Inul,Inul,parous female,,,,,,,2014,7,,,FMFM,4,<1978,>37,old female,
770,6750,13-Jan-15,1,2015,Idun,5:19:00 AM,Inul,Inul,parous female,,,,,,,2014,7,,,FMFM,4,<1978,>37,old female,
771,6764,16-Jan-15,1,2015,Isman,5:31:00 AM,Kerry,Kerry,parous female,,,,,,,2014,6,,,FMM,3,c.1980,35,,
772,6768,17-Jan-15,1,2015,Suwi,5:22:00 AM,Mindy,Mindy,parous female,,,,,,,2014,11,,,FFF,3,c.1986,29,,
773,6766,17-Jan-15,1,2015,Tono,6:48:00 AM,Kerry,Kerry,parous female,,,,,,,2014,6,,,FMM,3,c.1980,35,,
774,6772,18-Jan-15,1,2015,Suwi,6:27:00 AM,Kerry,Kerry,parous female,,,,,,,2014,6,,,FMM,3,c.1980,35,,
775,6777,19-Jan-15,1,2015,Idun,5:31:00 AM,Kino,Kino,local offspring,,2007,1,95,2014,6,,,,,,,,,,
776,6774,19-Jan-15,1,2015,Isman,4:51:00 AM,Mindy,Mindy,parous female,,,,,,,2014,11,,,FFF,3,c.1986,29,,
777,6778,20-Jan-15,1,2015,Idun,4:47:00 AM,Mindy,Mindy,parous female,,,,,,,2014,11,,,FFF,3,c.1986,29,,
778,6780,20-Jan-15,1,2015,Tono,4:58:00 AM,Kerry,Kerry,parous female,,,,,,,2014,6,,,FMM,3,c.1980,35,,
779,6782,21-Jan-15,1,2015,Rumaan,5:16:00 AM,Mindy,Mindy,parous female,,,,,,,2014,11,,,FFF,3,c.1986,29,,
780,6784,21-Jan-15,1,2015,Abuk,5:36:00 AM,Kerry,Kerry,parous female,,,,,,,2014,6,,,FMM,3,c.1980,35,,
781,6785,21-Jan-15,1,2015,Abuk,5:42:00 AM,Kerry,Kerry,parous female,,,,,,,2014,6,,,FMM,3,c.1980,35,,
782,6792,23-Jan-15,1,2015,Tono,5:34:00 AM,Kondor,Kondor,pregnant,,,,,,,lost,,2015,4,(F),lost,1998,17,,pregnant
783,6799,26-Jan-15,1,2015,Idun,5:18:00 AM,Kondor,Kondor,pregnant,,,,,,,lost,,2015,4,(F),lost,1998,17,,pregnant
784,6801,27-Jan-15,1,2015,Isman,5:41:00 AM,Cinta,Cinta,parous female,,,,,,,2014,9,,,MM,2,<1994,21,,
785,6805,29-Jan-15,1,2015,Isman,5:29:00 AM,Kondor,Kondor,pregnant,,,,,,,lost,,2015,4,(F),lost,1998,17,,pregnant
787,6810,31-Jan-15,1,2015,Abuk,6:46:00 AM,Teju,Teju,flanged,<2004,,,,,,,,,,,,<1978,37,old flanged,
788,6820,6-Feb-15,2,2015,Isman,5:16:00 AM,Jinak,Jinak,parous female,,,,,,,2011,7,,,FFFMM,5,1965,>50,old female,
789,6822,7-Feb-15,2,2015,Abuk,5:52:00 AM,Jinak,Jinak,parous female,,,,,,,2011,7,,,FFFMM,5,1965,>50,old female,
790,6824,8-Feb-15,2,2015,Abuk,5:46:00 AM,Jinak,Jinak,parous female,,,,,,,2011,7,,,FFFMM,5,1965,>50,old female,
791,6826,9-Feb-15,2,2015,Isman,5:08:00 AM,Jinak,Jinak,parous female,,,,,,,2011,7,,,FFFMM,5,1965,>50,old female,
792,6841,14-Feb-15,2,2015,Wendy,5:42:00 AM,Dayak,Dayak,flanged,2010,,,,,,,,,,,,<1985,30,mid-aged flanged,
793,6842,15-Feb-15,2,2015,Wendy,5:18:00 AM,Dayak,Dayak,flanged,2010,,,,,,,,,,,,<1985,30,mid-aged flanged,
795,6843,16-Feb-15,2,2015,Wendy,5:34:00 AM,Dayak,Dayak,flanged,2010,,,,,,,,,,,,<1985,30,mid-aged flanged,
794,6844,16-Feb-15,2,2015,Abuk,6:14:00 AM,Teju,Teju,flanged,<2004,,,,,,,,,,,,<1978,37,old flanged,
796,6847,17-Feb-15,2,2015,Idun,4:54:00 AM,Dayak,Dayak,flanged,2010,,,,,,,,,,,,<1985,30,mid-aged flanged,
798,6850,18-Feb-15,2,2015,Wendy,5:52:00 AM,Dayak,Dayak,flanged,2010,,,,,,,,,,,,<1985,30,mid-aged flanged,
797,6851,18-Feb-15,2,2015,Idun,5:50:00 AM,Teju,Teju,flanged,<2004,,,,,,,,,,,,<1978,37,old flanged,
799,6876,22-Feb-15,2,2015,Wendy,10:25:00 AM,Helium,Helium,flanged,<2012,,,,,,,,,,,,<1987,28,young flanged,
800,6877,23-Feb-15,2,2015,Idun,9:59:00 AM,Tomi,Tomi,flanged,<2012,,,,,,,,,,,,<1987,28,young flanged,
801,6861,24-Feb-15,2,2015,Suwi,6:41:00 AM,Tomi,Tomi,flanged,<2012,,,,,,,,,,,,<1987,28,young flanged,
802,6878,25-Feb-15,2,2015,Isman,1:53:00 PM,Tomi,Tomi,flanged,<2012,,,,,,,,,,,,<1987,28,young flanged,
803,6879,26-Feb-15,2,2015,Idun,5:13:00 AM,Tom,Tomi,flanged,<2012,,,,,,,,,,,,<1987,28,young flanged,
804,6865,27-Feb-15,2,2015,Abuk,4:58:00 AM,Tomi,Tomi,flanged,<2012,,,,,,,,,,,,<1987,28,young flanged,
805,6869,28-Feb-15,2,2015,Abuk,5:34:00 AM,Mawas,Mawas,local offspring,,2008,7,79,2014,11,,,,,,,,,,3 months after sib birth
806,6871,1-Mar-15,3,2015,Suwi,5:31:00 AM,Mindy,Mindy,parous female,,,,,,,2014,11,,,FFF,3,c.1986,29,,
807,6887,3-Mar-15,3,2015,Rahmatd,5:41:00 AM,Mindy,Mindy,parous female,,,,,,,2014,11,,,FFF,3,c.1986,29,,
808,6892,5-Mar-15,3,2015,Tono,6:18:00 AM,Teju,Teju,flanged,<2004,,,,,,,,,,,,<1978,37,old flanged,
809,6894,6-Mar-15,3,2015,Isman,6:17:00 AM,Teju,Teju,flanged,<2004,,,,,,,,,,,,<1978,37,old flanged,
810,6902,16-Mar-15,3,2015,Idun,5:28:00 AM,Otto,Otto,flanged,<2008,,,,,,,,,,,,<1983,32,mid-aged flanged,
811,6905,17-Mar-15,3,2015,Tono,5:32:00 AM,Otto,Otto,flanged,<2008,,,,,,,,,,,,<1983,32,mid-aged flanged,
812,6908,18-Mar-15,3,2015,Allie,6:35:00 AM,Otto,Otto,flanged,<2008,,,,,,,,,,,,<1983,32,mid-aged flanged,
813,6911,19-Mar-15,3,2015,Otto,10:35:00 AM,Otto,Otto,flanged,<2008,,,,,,,,,,,,<1983,32,mid-aged flanged,
814,6917,22-Mar-15,3,2015,Niko,9:55:00 AM,Niko,Niko,flanged,<2003,,,,,,,,,,,,<1978,37,old flanged,
815,6919,23-Mar-15,3,2015,Suwi,5:13:00 AM,Niko,Niko,flanged,<2003,,,,,,,,,,,,<1978,37,old flanged,
816,6926,24-Mar-15,3,2015,Idun,5:14:00 AM,Niko,Niko,flanged,<2003,,,,,,,,,,,,<1978,37,old flanged,
817,6934,26-Mar-15,3,2015,Tono,5:20:00 AM,Sugus,Sugus,flanged,<2013,,,,,,,,,,,,<1985,30,mid-aged flanged,
818,6935,26-Mar-15,3,2015,Abuk,5:14:00 AM,Jinak,Jinak,parous female,,,,,,,2011,7,,,FFFMM,5,1965,>50,old female,
819,6937,27-Mar-15,3,2015,Abuk,5:32:00 AM,Niko,Niko,flanged,<2003,,,,,,,,,,,,<1978,37,old flanged,
820,6938,27-Mar-15,3,2015,Suwi,5:06:00 AM,Jinak,Jinak,parous female,,,,,,,2011,7,,,FFFMM,5,1965,>50,old female,
821,6940,28-Mar-15,3,2015,Suwi,5:01:00 AM,Niko,Niko,flanged,<2003,,,,,,,,,,,,<1978,37,old flanged,
822,6943,29-Mar-15,3,2015,Abuk,5:12:00 AM,Niko,Niko,flanged,<2003,,,,,,,,,,,,<1978,37,old flanged,
823,6944,30-Mar-15,3,2015,Allie,5:43:00 AM,Niko,Niko,flanged,<2003,,,,,,,,,,,,<1978,37,old flanged,
824,6947,31-Mar-15,3,2015,Allie,5:55:00 AM,Niko,Niko,flanged,<2003,,,,,,,,,,,,<1978,37,old flanged,
825,6953,2-Apr-15,4,2015,Abuk,5:16:00 AM,Inul,Inul,parous female,,,,,,,2014,7,,,FMFM,4,<1978,>37,old female,
826,6964,17-Apr-15,4,2015,Isman,8:07:00 AM,Wodan,Wodan,flanged,2012,,,,,,,,,,,,1987,28,young flanged,
827,6967,18-Apr-15,4,2015,Abuk,6:40:00 AM,Wodan,Wodan,flanged,2012,,,,,,,,,,,,1987,28,young flanged,
828,6972,19-Apr-15,4,2015,Isman,4:57:00 AM,Wodan,Wodan,flanged,2012,,,,,,,,,,,,1987,28,young flanged,
829,6977,20-Apr-15,4,2015,Suwi,2:40:00 PM,Wodan,Wodan,flanged,2012,,,,,,,,,,,,1987,28,young flanged,
830,9999,22-Apr-15,4,2015,Allie,6:35:00 AM,Wodan,Wodan,flanged,2012,,,,,,,,,,,,1987,28,young flanged,
831,6986,23-Apr-15,4,2015,Allie,2:11:00 PM,Tomi,Tomi,flanged,<2012,,,,,,,,,,,,<1987,28,young flanged,
